sec,nat,scho,town,sect,study,final
76.75,58,2224,31,8,5,4
86.11,58,2233,31,8,5,5
58.33,58,941,42,9,5,3
62.47,58,897,42,9,5,3
78.52,58,1574,36,9,5,4
93.71,58,1924,11,9,3,6
87.17,58,284,35,9,5,5
81.94,58,1325,39,8,2,4
85.17,58,2250,31,9,2,5
76.42,58,1297,37,8,3,5
67.47,58,2406,37,8,3,4
78.86,58,378,44,8,3,4
76.74,58,709,34,9,5,4
86.83,58,284,35,9,5,5
82.04,58,2348,37,9,5,4
90.52,58,1770,39,9,5,6
85.28,58,2221,44,8,3,5
87.39,58,1636,8,9,5,5
65.83,58,1622,42,9,5,3
79.67,58,1024,44,8,5,5
77.3,58,515,44,8,5,4
88.64,58,516,44,8,3,5
72.61,58,709,34,9,5,4
71.09,58,1715,42,9,3,4
78.79,58,2002,33,8,2,5
69.38,58,1410,42,9,3,3
90.96,58,2299,30,9,5,5
61.74,58,2308,35,9,5,4
69,58,1715,42,8,3,4
76.69,58,1318,42,8,3,5
66.85,58,1410,42,9,3,3
65.7,58,2231,31,9,5,3
79.96,58,1636,8,9,5,4
70.3,58,1843,42,9,5,4
72.91,58,1843,42,9,5,4
82.58,58,1318,42,8,3,5
81.83,58,857,36,9,5,5
62.53,58,1410,42,8,3,3
62.44,58,1410,42,9,3,3
68.68,58,1410,42,9,3,4
67.89,58,1410,42,8,3,4
83.37,58,2233,31,8,5,4
88.39,58,1472,29,9,5,5
76.29,77,1437,30,9,3,5
93.65,58,2351,37,9,5,6
60.94,58,1410,42,8,2,3
79.7,58,2426,30,8,5,4
65.57,58,1466,44,9,5,3
82.07,58,513,30,8,5,5
77.43,58,988,37,9,5,4
82.3,58,513,30,9,5,5
89.32,58,2299,30,9,5,5
76.84,63,2393,37,9,2,4
89.26,58,2145,17,9,5,5
80.81,58,1651,37,9,2,5
83.91,58,2351,37,9,5,5
69.18,58,1827,33,8,2,3
69.06,58,951,42,9,5,4
60.39,58,2437,30,9,5,3
76.44,58,2438,30,8,5,4
84.61,58,1370,16,9,5,5
69.17,58,2233,31,9,5,3
78.87,58,2219,31,9,4,5
86.13,58,1054,37,9,5,5
62.06,58,2311,37,8,2,4
84,58,1620,8,9,5,5
76.68,58,2406,37,9,3,4
78.17,58,2405,37,9,5,4
72.74,58,2268,41,9,5,4
90.37,58,2242,31,8,4,5
88.61,58,2348,37,9,5,5
84.74,58,2,37,9,2,5
78.91,58,1451,37,9,5,5
87.57,58,1054,37,9,5,5
64.92,58,2392,37,9,5,4
76.56,58,1732,29,8,3,5
75.97,58,1626,29,9,5,4
68.76,58,1887,30,9,3,3
68.86,58,2426,30,9,5,4
85.35,58,2348,37,9,5,5
76.14,58,2428,30,9,5,4
65.31,50,1887,30,8,2,3
88.74,58,1054,37,9,5,5
71.22,58,2378,30,8,3,3
70.39,58,2428,30,9,5,3
84.78,58,1296,37,9,5,5
81.67,58,1398,19,8,2,5
70.26,58,988,37,9,5,4
80.14,58,280,30,9,5,4
84.17,58,1451,37,9,5,5
83.87,58,795,37,9,5,4
81.47,58,2450,30,8,3,4
63.29,58,2392,37,9,5,4
77,58,1297,37,8,3,4
94.41,58,2172,31,9,5,5
89.78,58,1451,37,9,5,6
64.03,58,2426,30,9,5,3
65.12,58,2002,33,8,2,4
74.48,58,2406,37,9,2,4
89.27,58,2392,37,9,5,5
75.91,58,2405,37,9,5,4
88.39,58,901,37,9,5,5
66.48,58,2405,37,9,5,4
84.04,58,1880,37,9,5,5
74.78,58,316,30,9,5,4
85.58,58,668,23,8,3,5
68.3,58,2426,30,8,5,4
81.39,58,2424,30,8,5,4
75.89,58,513,30,8,5,4
91.09,58,2392,37,9,5,5
85.56,58,2436,30,8,5,4
90.61,58,1054,37,9,5,6
74.15,58,2426,30,8,5,4
63.42,58,628,30,9,5,3
75.85,58,1434,30,8,2,3
75.61,58,421,30,9,2,4
80.74,58,2299,30,9,5,5
69.53,58,2438,30,8,5,4
86.3,58,361,30,9,5,5
69,58,1437,30,8,2,4
79.67,58,2426,30,8,5,4
80.48,58,1434,30,9,2,4
77.18,58,2433,30,9,5,4
79.57,58,2428,30,9,5,4
50,58,1689,45,8,4,3
90.74,58,2351,37,9,5,5
77.67,58,1539,17,8,3,4
65.72,58,2377,30,8,3,3
66.35,58,1651,37,9,2,4
80.83,21,2299,30,9,5,5
93,58,2351,37,9,5,5
82,58,2440,30,9,5,4
77.94,58,323,10,9,5,4
83.04,58,901,37,9,5,5
74.83,58,2428,30,9,5,4
69.14,58,1360,30,8,3,3
76.96,58,2428,30,9,5,4
68.3,58,1320,33,9,5,3
87.11,58,2450,30,8,3,5
84.83,58,2172,31,9,5,5
68.26,58,887,38,9,2,3
73.52,58,2233,31,9,5,4
70.53,58,1047,37,8,3,4
84.13,58,2348,37,9,5,5
80.04,58,2348,37,9,5,5
89.77,58,2348,37,9,5,5
89.86,58,2348,37,9,5,5
60.53,58,385,30,8,5,3
70.26,58,1204,45,9,4,4
76.97,58,131,20,9,3,4
76.52,58,2348,37,9,5,4
80.52,58,2348,37,9,5,5
74.97,58,1720,40,9,4,5
90,58,2348,37,9,5,5
67,58,2428,30,9,5,3
63.31,58,2419,30,8,2,3
75.86,58,457,30,9,2,4
75.55,58,2379,30,9,5,4
71.5,58,2379,30,9,5,4
89.73,58,1011,37,9,5,5
83.7,58,1031,37,9,5,5
79.17,58,2379,30,9,5,5
81,58,1011,37,9,5,4
81.37,58,385,30,8,5,4
62.69,58,1732,29,8,3,4
69.22,58,2436,30,8,5,4
77.13,58,700,38,9,2,4
64.81,58,445,29,8,3,3
61.78,58,382,30,8,3,3
